temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:40:58.722883,22.3,78.0,22.62
,,2026-02-23 21:41:00.796508,22.3,77.0,22.6
,,2026-02-23 21:41:02.848503,22.3,77.0,22.6
,,2026-02-23 21:41:04.911576,22.3,77.0,22.6
,,2026-02-23 21:41:06.975607,22.3,77.0,22.6
,,2026-02-23 21:41:09.037282,22.3,77.0,22.6
,,2026-02-23 21:41:11.101223,22.3,76.0,22.57
,,2026-02-23 21:41:13.164675,22.3,76.0,22.57
,,2026-02-23 21:41:15.249564,22.3,76.0,22.57
,,2026-02-23 21:41:17.316291,22.3,76.0,22.57
,,2026-02-23 21:41:19.411210,22.3,75.0,22.54
,,2026-02-23 21:41:21.477611,22.3,75.0,22.54
,,2026-02-23 21:41:23.550536,22.3,75.0,22.54
,,2026-02-23 21:41:25.622121,22.3,75.0,22.54
,,2026-02-23 21:41:27.686033,22.3,74.0,22.52
,,2026-02-23 21:41:29.751253,22.3,74.0,22.52
,,2026-02-23 21:41:31.811636,22.3,74.0,22.52
,,2026-02-23 21:41:33.878413,22.3,74.0,22.52
,,2026-02-23 21:41:35.949870,22.3,73.0,22.49
,,2026-02-23 21:41:37.033093,22.3,73.0,22.49
,,2026-02-23 21:41:39.116415,22.3,73.0,22.49
,,2026-02-23 21:41:41.196732,22.3,73.0,22.49
,,2026-02-23 21:41:43.296532,22.3,73.0,22.49
,,2026-02-23 21:41:45.358927,22.3,72.0,22.47
,,2026-02-23 21:41:47.425663,22.3,72.0,22.47
,,2026-02-23 21:41:49.520425,22.3,72.0,22.47
,,2026-02-23 21:41:51.596563,22.3,72.0,22.47
,,2026-02-23 21:41:53.662650,22.3,72.0,22.47
,,2026-02-23 21:41:55.733926,22.2,72.0,22.36
,,2026-02-23 21:41:57.804290,22.2,72.0,22.36
,,2026-02-23 21:41:59.884099,22.2,71.0,22.33
,,2026-02-23 21:42:01.948963,22.2,71.0,22.33
,,2026-02-23 21:42:04.014544,22.2,71.0,22.33
,,2026-02-23 21:42:06.088849,22.2,71.0,22.33
,,2026-02-23 21:42:08.160033,22.2,71.0,22.33
,,2026-02-23 21:42:10.228510,22.2,71.0,22.33
,,2026-02-23 21:42:12.294787,22.2,71.0,22.33
